Rəng,R,G,B,W,D
Red,2072,2982,2771,1790,4095
Red,2071,2983,2776,1792,4095
Red,2072,2982,2775,1789,4095
Red,2073,2984,2775,1790,4095
Red,2072,2982,2773,1790,4095
Red,2072,2983,2774,1788,4095
Red,2071,2982,2774,1790,4095
Red,2072,2984,2776,1789,4095
Red,2072,2980,2775,1789,4095
Red,2069,2983,2774,1790,4095
Red,2073,2984,2774,1789,4095
Red,2072,2982,2778,1791,4095
Red,2072,2980,2776,1793,4095
Red,2078,2982,2775,1788,4095
Red,2073,2980,2774,1791,4095
Red,2071,2983,2773,1790,4095
Red,2073,2981,2773,1790,4095
Red,2071,2983,2775,1792,4095
Red,2071,2980,2774,1790,4095
Red,2072,2983,2775,1793,4095
Red,2072,2982,2771,1789,4095
Red,2071,2981,2775,1791,4095
Red,2069,2981,2773,1789,4095
Red,2072,2984,2774,1791,4095
Red,2073,2981,2774,1793,4095
Red,2071,2982,2774,1790,4095
Red,2072,2978,2774,1791,4095
Red,2072,2982,2774,1790,4095
Red,2073,2981,2775,1791,4095
Red,2071,2981,2774,1790,4095
Red,2073,2982,2773,1790,4095
Red,2072,2980,2775,1791,4095
Red,2073,2978,2774,1788,4095
Red,2072,2982,2773,1792,4095
Red,2073,2982,2773,1791,4095
Red,2072,2982,2772,1789,4095
Red,2071,2981,2774,1789,4095
Red,2071,2982,2773,1793,4095
Red,2070,2982,2773,1791,4095
Red,2071,2982,2771,1788,4095
Red,2072,2983,2774,1789,4095
Red,2072,2983,2774,1790,4095
Red,2073,2980,2778,1793,4095
Red,2072,2981,2777,1790,4095
Red,2071,2982,2773,1791,4095
Red,2072,2980,2774,1788,4095
Red,2074,2985,2770,1789,4095
Red,2072,2983,2776,1792,4095
Red,2074,2981,2775,1788,4095
Red,2072,2983,2774,1789,4095
Red,2071,2981,2775,1790,4095
Red,2065,2981,2774,1790,4095
Red,2073,2980,2773,1790,4095
Red,2072,2980,2776,1789,4095
Red,2072,2982,2778,1790,4095
Red,2075,2983,2774,1785,4095
Red,2073,2982,2773,1789,4095
Red,2071,2982,2773,1790,4095
Red,2071,2980,2773,1791,4095
Red,2070,2983,2773,1789,4095
Red,2072,2981,2772,1790,4095
Red,2072,2983,2773,1784,4095
Red,2069,2982,2776,1789,4095
Red,2074,2981,2774,1790,4095
Red,2072,2979,2774,1792,4095
Red,2072,2982,2772,1796,4095
Red,2075,2983,2776,1793,4095
Red,2073,2978,2775,1790,4095
Red,2072,2982,2773,1790,4095
Red,2072,2984,2775,1789,4095
Red,2071,2982,2776,1790,4095
Red,2073,2983,2771,1790,4095
Red,2073,2983,2771,1791,4095
Red,2073,2983,2775,1793,4095
Red,2072,2981,2774,1791,4095
Red,2072,2980,2773,1790,4095
Red,2072,2981,2781,1795,4095
Red,2071,2982,2775,1793,4095
Red,2076,2984,2773,1790,4095
Red,2072,2980,2776,1789,4095
Red,2072,2981,2772,1793,4095
Red,2073,2983,2775,1790,4095
Red,2071,2981,2774,1790,4095
Red,2072,2981,2775,1792,4095
Red,2070,2982,2775,1790,4095
Red,2073,2983,2775,1790,4095
Red,2073,2983,2778,1791,4095
Red,2072,2980,2774,1791,4095
Red,2071,2982,2774,1788,4095
Red,2072,2981,2773,1790,4095
Red,2073,2982,2774,1790,4095
Red,2073,2982,2775,1792,4095
Red,2073,2983,2775,1791,4095
Red,2074,2981,2774,1793,4095
Red,2073,2983,2774,1791,4095
Red,2072,2981,2775,1790,4095
Red,2073,2983,2775,1795,4095
Red,2071,2978,2774,1788,4095
Red,2073,2981,2773,1789,4095
Red,2072,2981,2774,1791,4095
Red,2073,2981,2775,1791,4095
Red,2072,2982,2775,1791,4095
Red,2073,2981,2777,1790,4095
Red,2068,2981,2774,1792,4095
Red,2071,2981,2774,1791,4095
Red,2072,2980,2773,1789,4095
Red,2072,2981,2774,1791,4095
Red,2070,2983,2775,1791,4095
Red,2073,2979,2773,1791,4095
Red,2072,2982,2773,1795,4095
Red,2075,2982,2775,1792,4095
Red,2072,2985,2774,1790,4095
Red,2072,2980,2775,1789,4095
Red,2072,2982,2775,1793,4095
Red,2072,2983,2774,1790,4095
Red,2072,2979,2775,1790,4095
Red,2073,2982,2773,1791,4095
Red,2073,2980,2775,1790,4095
Red,2072,2977,2774,1791,4095
Red,2072,2982,2777,1792,4095
Red,2074,2982,2774,1788,4095
Red,2071,2985,2774,1791,4095
Red,2073,2988,2776,1789,4095
Red,2072,2980,2775,1787,4095
Red,2074,2979,2773,1792,4095
Red,2072,2982,2773,1791,4095
Red,2073,2983,2773,1790,4095
Red,2072,2983,2775,1790,4095
Red,2069,2977,2775,1790,4095
Red,2072,2978,2772,1792,4095
Red,2072,2981,2775,1791,4095
Red,2071,2982,2773,1792,4095
Red,2074,2984,2775,1793,4095
Red,2073,2983,2771,1793,4095
Red,2076,2982,2775,1791,4095
Red,2074,2988,2775,1793,4095
Red,2073,2986,2775,1792,4095
Red,2073,2981,2778,1788,4095
Red,2072,2982,2775,1792,4095
Red,2074,2982,2773,1793,4095
Red,2073,2982,2773,1793,4095
Red,2069,2982,2773,1791,4095
Red,2074,2982,2775,1793,4095
Red,2074,2982,2773,1793,4095
Red,2074,2983,2779,1792,4095
Red,2074,2983,2775,1791,4095
Red,2073,2981,2773,1794,4095
Red,2073,2983,2778,1791,4095
Red,2068,2982,2774,1790,4095
Red,2075,2986,2776,1793,4095
Red,2073,2983,2773,1798,4095
Red,2073,2982,2775,1794,4095
Red,2074,2981,2775,1796,4095
Red,2075,2982,2775,1794,4095
Red,2073,2984,2775,1794,4095
Red,2074,2989,2775,1794,4095
Red,2073,2981,2776,1793,4095
Red,2075,2983,2776,1796,4095
Red,2073,2982,2773,1793,4095
Red,2073,2982,2773,1798,4095
Red,2072,2983,2776,1795,4095
Red,2073,2979,2775,1794,4095
Red,2073,2982,2776,1795,4095
Red,2074,2981,2774,1794,4095
Red,2073,2982,2776,1794,4095
Red,2073,2981,2776,1794,4095
Red,2073,2983,2775,1792,4095
Red,2074,2986,2774,1793,4095
Red,2074,2973,2775,1795,4095
Red,2074,2983,2776,1794,4095
Red,2075,2982,2775,1795,4095
Red,2073,2981,2772,1794,4095
Red,2074,2981,2770,1795,4095
Red,2075,2982,2774,1797,4095
Red,2074,2984,2774,1794,4095
Red,2073,2981,2774,1793,4095
Red,2069,2982,2775,1791,4095
Red,2071,2983,2776,1792,4095
Red,2073,2982,2773,1793,4095
Red,2073,2982,2774,1795,4095
Red,2074,2984,2777,1794,4095
Red,2073,2979,2777,1792,4095
Red,2074,2982,2776,1794,4095
Red,2074,2987,2776,1793,4095
Red,2073,2983,2776,1795,4095
Red,2073,2982,2775,1794,4095
Red,2073,2982,2775,1793,4095
Red,2073,2980,2767,1794,4095
Red,2072,2982,2772,1794,4095
Red,2074,2982,2773,1794,4095
Red,2073,2983,2775,1792,4095
Red,2074,2983,2778,1791,4095
Red,2073,2984,2775,1794,4095
Red,2071,2980,2775,1793,4095
Red,2074,2983,2775,1799,4095
Red,2074,2984,2775,1799,4095
Red,2074,2981,2774,1798,4095
Red,2076,2982,2774,1801,4095
Red,2078,2983,2776,1797,4095
Red,2072,2982,2775,1802,4095
Red,2075,2992,2778,1801,4095
Red,2075,2982,2775,1800,4095
Red,2074,2984,2775,1801,4095
Red,2076,2982,2774,1800,4095
Red,2075,2981,2773,1802,4095
Red,2074,2983,2776,1803,4095
Red,2076,2986,2774,1801,4095
Red,2076,2984,2777,1803,4095
Red,2084,2985,2777,1801,4095
Red,2075,2984,2776,1802,4095
Red,2076,2985,2772,1801,4095
Red,2077,2983,2776,1797,4095
Red,2077,2983,2776,1801,4095
Red,2075,2982,2775,1799,4095
Red,2077,2981,2776,1800,4095
Red,2075,2983,2777,1801,4095
Red,2076,2982,2775,1800,4095
Red,2076,2983,2776,1801,4095
Red,2076,2984,2776,1801,4095
Red,2077,2982,2777,1804,4095
Red,2079,2983,2775,1801,4095
Red,2076,2984,2779,1801,4095
Red,2076,2984,2776,1801,4095
Red,2078,2983,2776,1805,4095
Red,2077,2982,2777,1801,4095
Red,2079,2985,2778,1801,4095
Red,2075,2984,2778,1803,4095
Red,2075,2984,2776,1802,4095
Red,2076,2984,2773,1802,4095
Red,2075,2983,2773,1798,4095
Red,2077,2984,2777,1802,4095
Red,2076,2986,2778,1801,4095
Red,2076,2984,2774,1800,4095
Red,2077,2984,2775,1801,4095
Red,2075,2985,2769,1801,4095
Red,2069,2979,2772,1783,4095
Red,2073,2981,2776,1786,4095
Red,2068,2981,2774,1783,4095
Red,2069,2981,2776,1784,4095
Red,2075,2984,2777,1785,4095
Red,2072,2983,2777,1786,4095
Red,2072,2982,2777,1786,4095
Red,2072,2983,2774,1784,4095
Red,2072,2982,2775,1787,4095
Red,2070,2981,2773,1783,4095
Red,2070,2983,2777,1785,4095
Red,2070,2982,2772,1783,4095
Red,2071,2979,2775,1784,4095
Red,2071,2983,2775,1784,4095
Red,2072,2983,2774,1786,4095
Red,2070,2980,2774,1786,4095
Red,2073,2982,2776,1789,4095
Red,2072,2981,2775,1790,4095
Red,2072,2982,2775,1787,4095
Red,2073,2982,2776,1788,4095
Red,2072,2982,2776,1790,4095
Red,2073,2981,2776,1788,4095
Red,2073,2981,2775,1789,4095
Red,2074,2983,2778,1788,4095
Red,2074,2982,2774,1791,4095
Red,2072,2982,2776,1789,4095
Red,2072,2982,2774,1788,4095
Red,2073,2982,2775,1788,4095
Red,2074,2981,2775,1787,4095
Red,2071,2984,2783,1787,4095
Red,2071,2983,2777,1791,4095
Red,2071,2982,2775,1782,4095
Red,2072,2980,2771,1786,4095
Red,2072,2982,2774,1783,4095
Red,2071,2982,2774,1786,4095
Red,2069,2977,2774,1786,4095
Red,2072,2982,2775,1787,4095
Red,2072,2982,2777,1787,4095
Red,2073,2984,2773,1787,4095
Red,2072,2981,2774,1786,4095
Red,2074,2981,2774,1790,4095
Red,2073,2981,2774,1788,4095
Red,2072,2981,2774,1788,4095
Red,2072,2980,2774,1789,4095
Red,2073,2982,2777,1790,4095
